date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,leu,400,1,live,18:21,9722,,
10/22/13,st 1,5,17,leu,400,2,live,18:21,9943,,
10/22/13,st 1,5,17,leu,400,3,live,18:21,9660,,
10/22/13,st 1,5,17,leu,400,1,killed,18:22,6787,,
10/22/13,st 1,5,17,leu,400,2,killed,18:22,6600,,
10/22/13,st 1,5,17,leu,400,3,killed,18:22,6648,,
10/22/13,st 1,5,17,pyr,0,1,live,18:23,153.3,,
10/22/13,st 1,5,17,pyr,50,1,live,18:23,1142,,
10/22/13,st 1,5,17,pyr,100,1,live,18:23,1767,,
10/22/13,st 1,5,17,pyr,150,1,live,18:23,2559,,
10/22/13,st 1,5,17,pyr,200,1,live,18:24,3364,,
10/22/13,st 1,5,17,pyr,250,1,live,18:24,3883,,
10/22/13,st 1,5,17,pyr,300,1,live,18:24,4524,,
10/22/13,st 1,5,17,pyr,400,1,live,18:24,5788,,
10/22/13,st 1,5,17,pyr,400,2,live,18:25,5847,,
10/22/13,st 1,5,17,pyr,400,3,live,18:25,5823,,
10/22/13,st 1,5,17,pyr,400,1,killed,18:25,5631,,
10/22/13,st 1,5,17,pyr,400,2,killed,18:25,5662,,
10/22/13,st 1,5,17,pyr,400,3,killed,18:26,5644,,
10/22/13,st 1,5,17,ala-ala-phe,0,1,live,18:26,156.5,,
10/22/13,st 1,5,17,ala-ala-phe,50,1,live,18:26,1559,,
10/22/13,st 1,5,17,ala-ala-phe,100,1,live,18:26,2104,,
10/22/13,st 1,5,17,ala-ala-phe,150,1,live,18:26,2850,,
10/22/13,st 1,5,17,ala-ala-phe,200,1,live,18:27,3783,,
10/22/13,st 1,5,17,ala-ala-phe,250,1,live,18:27,4683,,
10/22/13,st 1,5,17,ala-ala-phe,300,1,live,18:27,5308,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,live,18:27,7211,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,live,18:27,7218,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,live,18:28,7107,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,killed,18:28,6573,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,killed,18:28,6482,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,killed,18:28,6447,,
10/23/13,st 1,5,17,arg,0,1,live,6:39,176.6,807.1,20.8
10/23/13,st 1,5,17,arg,50,1,live,6:39,880.8,,
10/23/13,st 1,5,17,arg,100,1,live,6:39,1407,,
10/23/13,st 1,5,17,arg,150,1,live,6:39,1949,,
10/23/13,st 1,5,17,arg,200,1,live,6:40,2424,,
10/23/13,st 1,5,17,arg,250,1,live,6:40,2776,,
10/23/13,st 1,5,17,arg,300,1,live,6:40,3316,,
10/23/13,st 1,5,17,arg,400,1,live,6:40,4111,,
10/23/13,st 1,5,17,arg,400,2,live,6:41,4118,,
10/23/13,st 1,5,17,arg,400,3,live,6:41,4093,,
10/23/13,st 1,5,17,arg,400,1,killed,6:41,4493,,
10/23/13,st 1,5,17,arg,400,2,killed,6:41,4426,,
10/23/13,st 1,5,17,arg,400,3,killed,6:41,4484,,
10/23/13,st 1,5,17,gly,0,1,live,6:42,175.2,,
10/23/13,st 1,5,17,gly,50,1,live,6:42,1549,,
10/23/13,st 1,5,17,gly,100,1,live,6:42,2717,,
